enormously,tremendously,decidedly,wrong
provisions,stipulations,jurisdictions,wrong
haphazardly,randomly,,guess
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,pinnacle,correct
flawed,imperfect,,guess
urgently,desperately,,guess
consumed,eaten,eaten,correct
advent,coming,arrest,wrong
concisely,succinctly,,guess
salutes,greetings,,guess
solitary,alone,restless,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,generosity,wrong
fanciful,imaginative,imaginative,correct
showed,demonstrated,repeated,wrong
constantly,continually,accidentally,wrong
issues,subjects,benefits,wrong
furnish,supply,protect,wrong
costly,expensive,complicated,wrong
recognized,acknowledged,successful,wrong
spot,location,location,correct
make,earn,borrow,wrong
often,frequently,frequently,correct
easygoing,relaxed,relaxed,correct
debate,argument,competition,wrong
narrow,thin,thin,correct
arranged,planned,discarded,wrong
infinite,limitless,unusual,wrong
showy,striking,entertaining,wrong
levied,imposed,requested,wrong
deftly,skillfully,humorously,wrong
distribute,circulate,research,wrong
discrepancies,differences,,guess
prolific,productive,promising,wrong
unmatched,unequaled,alienated,wrong
peculiarly,uniquely,suspiciously,wrong
hue,color,glare,wrong
hind,rear,curved,wrong
highlight,accentuate,,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,,guess
physician,doctor,chemist,wrong
essentially,basically,basically,correct
keen,sharp,sharp,correct
situated,positioned,isolated,wrong
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,shops,wrong
unlikely,improbable,improbable,correct
halfheartedly,apathetically,,guess
annals,chronicles,chronicles,correct
wildly,furiously,furiously,correct
hailed,acclaimed,addressed,wrong
command,mastery,love,wrong
concocted,devised,,guess
prospective,potential,prominent,wrong
generally,broadly,broadly,correct
sustained,prolonged,lowered,wrong
perilous,dangerous,offensive,wrong
tranquillity,peacefulness,harshness,wrong
dissipate,disperse,,guess
primarily,chiefly,chiefly,correct
colloquial,conversational,conversational,correct
resolved,settled,forgotten,wrong
feasible,possible,equitable,wrong
expeditiously,rapidly,,guess
percentage,proportion,proportion,correct
terminated,ended,postponed,wrong
uniform,alike,alike,correct
figure,solve,divide,wrong
sufficient,enough,enough,correct
fashion,manner,craze,wrong
marketed,sold,,guess
bigger,larger,larger,correct
roots,origins,origins,correct
normally,ordinarily,permanently,wrong
